OverallCond,latest_contruction,TotalBsmtSF,GrLivArea,GarageArea,SalePrice,indicator
5,2005,1713.0,1713,856.0,274900.0,1
5,2004,1121.0,1121,440.0,140000.0,1
6,1977,1196.0,1279,473.0,171500.0,1
6,1950,617.0,1310,398.0,112000.0,1
5,2004,848.0,848,420.0,149000.0,1
7,1950,720.0,1284,240.0,110000.0,1
5,1990,1424.0,1442,500.0,180500.0,1
5,1962,1140.0,1696,349.0,143900.0,1
5,1960,1100.0,1100,312.0,141000.0,1
5,1989,1157.0,2062,454.0,277000.0,1
7,1964,1092.0,1092,504.0,145000.0,1
6,1950,864.0,864,0.0,98000.0,1
5,2009,1212.0,1212,460.0,186000.0,1
5,2009,900.0,1852,644.0,252678.0,1
5,1995,990.0,990,576.0,156000.0,1
7,1977,689.0,1392,299.0,161750.0,1
6,1996,1070.0,1236,447.0,134450.0,1
5,2004,1436.0,1436,484.0,210000.0,1
4,1950,686.0,1328,210.0,107000.0,1
9,2006,798.0,1954,431.0,311500.0,1
5,2006,1248.0,1248,438.0,167240.0,1
5,2006,1498.0,1498,675.0,204900.0,1
5,2002,1010.0,2267,390.0,200000.0,1
6,1975,713.0,1552,434.0,179900.0,1
6,1971,864.0,864,576.0,97000.0,1
5,2003,2392.0,2392,968.0,386250.0,1
5,1971,630.0,1302,280.0,112000.0,1
5,1995,1203.0,2520,721.0,290000.0,1
6,1970,483.0,987,280.0,106000.0,1
5,1967,912.0,912,336.0,125000.0,1
5,2006,1373.0,1555,430.0,192500.0,1
6,1959,1194.0,1194,312.0,148000.0,1
5,1996,1462.0,2794,810.0,403000.0,1
5,1972,483.0,987,288.0,94500.0,1
6,1976,894.0,894,308.0,128200.0,1
5,2002,860.0,1960,440.0,216500.0,1
3,1971,483.0,987,264.0,89500.0,1
5,2004,1414.0,1414,494.0,185500.0,1
7,2003,996.0,1744,457.0,194500.0,1
5,2007,1694.0,1694,818.0,318000.0,1
4,1950,735.0,1487,220.0,113000.0,1
5,2008,1566.0,1566,750.0,262500.0,1
9,1997,686.0,866,0.0,110500.0,1
4,1950,540.0,1440,352.0,79000.0,1
6,1980,626.0,1217,288.0,120000.0,1
5,2002,948.0,2110,463.0,205000.0,1
5,1988,1845.0,1872,604.0,241500.0,1
8,1950,1020.0,1928,440.0,137000.0,1
5,1954,1367.0,1375,451.0,140000.0,1
5,2003,840.0,1668,500.0,180000.0,1
7,2006,1444.0,2144,389.0,277000.0,1
2,1966,728.0,1306,0.0,76500.0,1
5,2007,1573.0,1625,538.0,235000.0,1
5,2004,798.0,1640,520.0,173000.0,1
7,1991,1302.0,1302,309.0,158000.0,1
6,1957,1314.0,1314,294.0,145000.0,1
5,1999,975.0,2291,429.0,230000.0,1
5,2003,864.0,1728,673.0,207500.0,1
5,2006,1604.0,1604,660.0,220000.0,1
5,2001,963.0,1792,564.0,231500.0,1
5,1956,0.0,882,308.0,97000.0,1
5,1962,1362.0,1382,884.0,176000.0,1
5,2007,1482.0,2574,868.0,276000.0,1
7,1995,506.0,1212,492.0,151000.0,1
7,2001,926.0,1316,484.0,130000.0,1
5,2004,680.0,764,504.0,73000.0,1
6,1981,1422.0,1422,576.0,175500.0,1
5,1997,802.0,1511,413.0,185000.0,1
8,1997,720.0,2192,240.0,179500.0,1
6,1955,740.0,778,924.0,120500.0,1
7,1976,1143.0,1113,504.0,148000.0,1
5,2006,1095.0,1939,1053.0,266000.0,1
7,2005,1385.0,1363,439.0,241500.0,1
7,2007,1152.0,2270,671.0,290000.0,1
6,1988,1240.0,1632,338.0,139000.0,1
7,1982,816.0,816,264.0,124500.0,1
7,2007,952.0,1548,672.0,205000.0,1
5,2003,1560.0,1560,573.0,201000.0,1
5,1951,864.0,864,400.0,141000.0,1
5,2007,2121.0,2121,732.0,415298.0,1
5,1977,1160.0,2022,505.0,192000.0,1
6,1989,807.0,1982,575.0,228500.0,1
5,2006,1262.0,1262,572.0,185000.0,1
5,2008,1314.0,1314,626.0,207500.0,1
5,2009,1468.0,1468,898.0,244600.0,1
5,1992,1575.0,1575,529.0,179200.0,1
5,2007,625.0,1250,528.0,164700.0,1
7,1981,912.0,1734,440.0,159000.0,1
4,1971,858.0,858,0.0,88000.0,1
5,1967,882.0,900,280.0,122000.0,1
7,2003,698.0,1396,384.0,153575.0,1
5,2006,1079.0,1919,685.0,233230.0,1
6,2000,780.0,1716,0.0,135900.0,1
4,2008,768.0,1716,281.0,131000.0,1
7,1994,795.0,2263,539.0,235000.0,1
5,1953,1416.0,1644,418.0,167000.0,1
6,1984,1003.0,1003,588.0,142500.0,1
5,1950,910.0,1558,282.0,152000.0,1
5,1998,975.0,1950,576.0,239000.0,1
6,1968,702.0,1743,539.0,175000.0,1
8,2004,1092.0,1152,300.0,158500.0,1
5,1953,1165.0,1336,375.0,157000.0,1
5,1999,1028.0,2452,683.0,267000.0,1
5,2002,1541.0,1541,843.0,205000.0,1
7,1972,894.0,894,552.0,149900.0,1
9,2002,1470.0,3493,870.0,295000.0,1
5,2005,2000.0,2000,888.0,305900.0,1
5,1991,700.0,2243,746.0,225000.0,1
7,1950,319.0,1406,0.0,89500.0,1
5,1950,861.0,861,539.0,82500.0,1
5,2004,1896.0,1944,708.0,360000.0,1
5,1994,697.0,1501,420.0,165600.0,1
6,2002,972.0,972,240.0,132000.0,1
7,1950,793.0,1118,410.0,119900.0,1
5,1965,2136.0,2036,513.0,375000.0,1
7,1990,728.0,1641,546.0,178000.0,1
5,2005,716.0,1432,432.0,188500.0,1
7,1980,845.0,2353,484.0,260000.0,1
5,2006,1088.0,1959,1025.0,270000.0,1
5,1993,1347.0,2646,656.0,260000.0,1
5,1980,1372.0,1472,588.0,187500.0,1
5,2006,1249.0,2596,840.0,342643.0,1
5,2004,1136.0,2468,872.0,354000.0,1
5,1987,1502.0,2730,576.0,301000.0,1
8,2005,1162.0,1163,220.0,126175.0,1
7,2007,710.0,2978,564.0,242000.0,1
6,1950,720.0,803,360.0,87000.0,1
5,1993,1719.0,1719,473.0,324000.0,1
5,1960,1383.0,1383,292.0,145250.0,1
6,1994,844.0,2134,441.0,214500.0,1
5,1950,596.0,1192,189.0,78000.0,1
4,1964,1728.0,1728,352.0,119000.0,1
6,1992,1056.0,1056,308.0,139000.0,1
5,2004,3206.0,1629,880.0,284000.0,1
5,2004,1358.0,1358,484.0,207000.0,1
5,1998,943.0,1638,472.0,192000.0,1
6,1965,1499.0,1786,529.0,228950.0,1
5,2006,1922.0,1922,676.0,377426.0,1
5,2003,1536.0,1536,532.0,214000.0,1
7,1998,1208.0,1621,440.0,202500.0,1
7,1998,1215.0,1215,297.0,155000.0,1
5,2002,967.0,1908,431.0,202900.0,1
4,1950,721.0,841,294.0,82000.0,1
4,1950,0.0,1040,400.0,87500.0,1
5,2005,1684.0,1684,564.0,266000.0,1
3,1976,536.0,1112,336.0,85000.0,1
5,1950,972.0,1577,312.0,140200.0,1
8,1998,958.0,958,301.0,151500.0,1
5,1960,1478.0,1478,498.0,157500.0,1
5,2004,764.0,1626,474.0,154000.0,1
5,2006,1848.0,2728,706.0,437154.0,1
5,2007,1869.0,1869,617.0,318061.0,1
5,1986,1453.0,1453,445.0,190000.0,1
6,1950,616.0,1111,200.0,95000.0,1
8,2003,624.0,720,484.0,105900.0,1
5,2000,940.0,1595,240.0,140000.0,1
5,1995,1200.0,1200,521.0,177500.0,1
6,1992,1158.0,1167,400.0,173000.0,1
5,1976,1142.0,1142,528.0,134000.0,1
4,1958,1062.0,1352,288.0,130000.0,1
5,1998,1086.0,1924,592.0,280000.0,1
6,1978,888.0,912,470.0,156000.0,1
5,1982,883.0,1505,240.0,145000.0,1
5,2003,0.0,1922,672.0,198500.0,1
8,2007,483.0,987,264.0,118000.0,1
5,1976,796.0,1574,566.0,190000.0,1
7,1997,672.0,1344,468.0,147000.0,1
5,1963,1394.0,1394,514.0,159000.0,1
5,1962,1099.0,1431,296.0,165000.0,1
6,1954,1268.0,1268,244.0,132000.0,1
7,2006,1063.0,1287,576.0,162000.0,1
5,2000,953.0,1664,460.0,172400.0,1
4,1959,0.0,1588,680.0,134432.0,1
5,1984,744.0,752,264.0,125000.0,1
6,1953,608.0,1319,270.0,123000.0,1
5,2004,847.0,1928,434.0,219500.0,1
1,1950,683.0,904,0.0,61000.0,1
5,1996,870.0,914,576.0,148000.0,1
5,2005,1580.0,2466,610.0,340000.0,1
2,2010,1856.0,1856,834.0,394432.0,1
5,2000,982.0,1800,463.0,179000.0,1
6,1950,1026.0,1691,308.0,127000.0,1
5,2006,1293.0,1301,572.0,187750.0,1
5,2006,939.0,1797,639.0,213500.0,1
3,1950,784.0,784,360.0,76000.0,1
5,1992,1580.0,1953,501.0,240000.0,1
5,2005,1256.0,1269,430.0,192000.0,1
3,1996,658.0,1184,0.0,81000.0,1
6,1976,1041.0,1125,352.0,125000.0,1
5,2000,1468.0,1479,577.0,191000.0,1
5,2008,1682.0,2332,846.0,426000.0,1
8,1950,861.0,1367,384.0,119000.0,1
5,2002,804.0,1961,560.0,215000.0,1
7,1959,0.0,882,294.0,106500.0,1
5,1950,788.0,788,0.0,100000.0,1
6,1950,735.0,1034,240.0,109000.0,1
6,1956,1144.0,1144,596.0,129000.0,1
5,1972,894.0,894,600.0,123000.0,1
5,1962,864.0,1812,264.0,169500.0,1
2,1950,961.0,1077,338.0,67000.0,1
5,2007,1092.0,1550,438.0,241000.0,1
5,1996,1260.0,1288,500.0,245500.0,1
5,2005,1310.0,1310,400.0,164990.0,1
8,1997,672.0,672,240.0,108000.0,1
5,1998,1141.0,2263,420.0,258000.0,1
5,1996,806.0,1572,373.0,168000.0,1
4,1993,1281.0,1620,490.0,150000.0,1
5,1950,1064.0,1639,240.0,115000.0,1
7,1976,840.0,1680,308.0,177000.0,1
5,2006,1063.0,2172,947.0,280000.0,1
5,2008,1034.0,2078,836.0,339750.0,1
3,1958,1276.0,1276,350.0,60000.0,1
5,1955,1056.0,1056,572.0,145000.0,1
5,2009,1470.0,1478,484.0,222000.0,1
6,1950,1008.0,1028,360.0,115000.0,1
5,1993,1080.0,2097,678.0,228000.0,1
5,2007,1340.0,1340,396.0,181134.0,1
7,1978,672.0,1400,440.0,149500.0,1
6,1950,1370.0,2624,864.0,239000.0,1
6,1950,756.0,1134,240.0,126000.0,1
6,1968,1056.0,1056,304.0,142000.0,1
5,1998,1344.0,1344,784.0,206300.0,1
7,2000,1602.0,1602,529.0,215000.0,1
5,1954,988.0,988,520.0,113000.0,1
5,1998,1470.0,2630,696.0,315000.0,1
5,1956,1196.0,1196,297.0,139000.0,1
8,1992,651.0,1389,240.0,135000.0,1
5,1989,1518.0,1644,569.0,275000.0,1
6,1957,907.0,907,352.0,109008.0,1
5,2007,1208.0,1208,628.0,195400.0,1
5,1988,1392.0,1412,576.0,175000.0,1
5,1971,483.0,987,264.0,85400.0,1
7,1998,901.0,1198,0.0,79900.0,1
5,1971,765.0,1365,440.0,122500.0,1
5,1998,926.0,1604,470.0,181000.0,1
7,1972,630.0,630,0.0,81000.0,1
6,1996,799.0,1661,550.0,212000.0,1
8,1950,648.0,1118,440.0,116000.0,1
7,2004,884.0,904,180.0,119000.0,1
6,2002,440.0,694,352.0,90350.0,1
8,2000,684.0,1196,528.0,110000.0,1
5,2008,3094.0,2402,672.0,555000.0,1
4,1955,1440.0,1440,0.0,118000.0,1
7,1992,1078.0,1573,360.0,162900.0,1
5,2007,1258.0,1258,648.0,172500.0,1
5,1995,915.0,1908,493.0,210000.0,1
5,1956,1436.0,1689,480.0,127500.0,1
6,2002,1517.0,1888,578.0,190000.0,1
5,1999,930.0,1886,431.0,199900.0,1
6,1950,780.0,1376,198.0,119500.0,1
7,2002,649.0,1183,308.0,120000.0,1
8,2005,813.0,813,270.0,110000.0,1
5,1975,1533.0,1533,576.0,280000.0,1
5,1997,872.0,1756,422.0,204000.0,1
5,2008,768.0,1590,676.0,210000.0,1
5,1976,1728.0,1728,560.0,188000.0,1
6,1973,1242.0,1242,528.0,175500.0,1
5,1950,624.0,1344,513.0,98000.0,1
6,1994,1364.0,1663,529.0,256000.0,1
7,1996,588.0,1666,228.0,161000.0,1
4,1950,709.0,1203,352.0,110000.0,1
5,2009,832.0,1935,552.0,263435.0,1
9,2007,560.0,1135,576.0,155000.0,1
5,1965,864.0,864,360.0,62383.0,1
7,1995,715.0,1660,240.0,188700.0,1
5,1978,1040.0,1040,0.0,124000.0,1
5,2004,1375.0,1414,398.0,178740.0,1
5,1970,1277.0,1277,526.0,167000.0,1
7,1995,728.0,1644,312.0,146500.0,1
5,2006,1626.0,1634,866.0,250000.0,1
5,1993,832.0,1710,506.0,187000.0,1
5,1985,1488.0,1502,528.0,212000.0,1
6,1977,808.0,1969,534.0,190000.0,1
5,2005,547.0,1072,525.0,148000.0,1
5,2007,1976.0,1976,908.0,440000.0,1
5,2000,1494.0,1652,499.0,251000.0,1
6,1963,970.0,970,624.0,132500.0,1
5,1998,1478.0,1493,508.0,208900.0,1
5,2006,2153.0,2643,694.0,380000.0,1
5,2008,1705.0,1718,826.0,297000.0,1
7,2000,907.0,1131,672.0,89471.0,1
5,2005,1833.0,1850,772.0,326000.0,1
5,2004,1792.0,1792,874.0,374000.0,1
8,2005,910.0,1826,164.0,155000.0,1
5,1998,1216.0,1216,402.0,164000.0,1
7,2001,999.0,999,264.0,132500.0,1
7,2007,1113.0,1113,264.0,147000.0,1
7,1965,1073.0,1073,515.0,156000.0,1
6,1971,1484.0,1484,487.0,175000.0,1
4,1970,954.0,2414,520.0,160000.0,1
8,2002,630.0,630,286.0,86000.0,1
6,1976,264.0,1304,336.0,115000.0,1
7,1950,806.0,1578,240.0,133000.0,1
5,2006,728.0,1456,429.0,172785.0,1
6,1960,1269.0,1269,308.0,155000.0,1
8,1996,190.0,886,273.0,91300.0,1
5,1950,720.0,720,0.0,34900.0,1
5,1993,3200.0,3228,546.0,430000.0,1
6,1950,1026.0,1820,240.0,184000.0,1
7,2004,864.0,899,288.0,130000.0,1
7,1985,912.0,912,297.0,120000.0,1
5,1973,672.0,1218,264.0,113000.0,1
5,2005,866.0,1768,603.0,226700.0,1
7,1965,1214.0,1214,461.0,140000.0,1
8,1997,1501.0,1801,484.0,289000.0,1
5,1974,855.0,1322,440.0,147000.0,1
5,1952,960.0,1960,400.0,124500.0,1
5,1994,777.0,1911,471.0,215000.0,1
5,2009,1218.0,1218,676.0,208300.0,1
9,2005,689.0,1378,360.0,161000.0,1
6,1959,1041.0,1041,270.0,124500.0,1
7,2000,1008.0,1363,288.0,164900.0,1
5,2006,1368.0,1368,474.0,202665.0,1
5,1958,864.0,864,624.0,129900.0,1
5,1983,1084.0,1080,484.0,134000.0,1
5,1950,768.0,789,200.0,96500.0,1
5,2009,2006.0,2020,900.0,402861.0,1
6,1972,689.0,2119,583.0,158000.0,1
5,1997,1264.0,2344,889.0,265000.0,1
5,1998,794.0,1796,546.0,211000.0,1
9,2004,1276.0,2080,282.0,234000.0,1
7,2000,0.0,1294,0.0,106250.0,1
6,1957,1244.0,1244,336.0,150000.0,1
7,1950,1004.0,1664,420.0,159000.0,1
5,2008,3138.0,4676,884.0,184750.0,1
5,1997,1379.0,2398,834.0,315750.0,1
5,2005,1257.0,1266,453.0,176000.0,1
7,2000,928.0,928,252.0,132000.0,1
5,2008,1452.0,2713,858.0,446261.0,1
7,2002,528.0,605,0.0,86000.0,1
3,1975,2035.0,2515,484.0,200624.0,1
5,1989,1461.0,1509,600.0,175000.0,1
8,1999,611.0,1362,502.0,128000.0,1
7,2007,0.0,827,392.0,107500.0,1
3,1950,0.0,334,0.0,39300.0,1
5,2004,707.0,1414,403.0,178000.0,1
7,1991,1117.0,1347,0.0,107500.0,1
5,1999,880.0,1724,527.0,188000.0,1
5,1972,864.0,864,576.0,111250.0,1
5,1968,1051.0,1159,336.0,158000.0,1
5,2002,1581.0,1601,670.0,272000.0,1
5,2006,1838.0,1838,765.0,315000.0,1
5,2000,969.0,2285,648.0,248000.0,1
5,1999,1650.0,1680,583.0,213250.0,1
5,1998,723.0,767,367.0,133000.0,1
5,2006,654.0,1496,426.0,179665.0,1
5,1988,1204.0,2183,786.0,229000.0,1
7,1950,1065.0,1635,440.0,210000.0,1
7,1970,768.0,768,624.0,129500.0,1
7,1995,825.0,825,720.0,125000.0,1
5,2004,912.0,2094,615.0,263000.0,1
6,1977,1069.0,1069,440.0,140000.0,1
6,1957,928.0,928,288.0,112500.0,1
5,2006,1709.0,1717,908.0,255500.0,1
5,2003,0.0,1126,520.0,108000.0,1
5,2004,998.0,2046,871.0,284000.0,1
6,1950,993.0,1048,280.0,113000.0,1
5,1957,1092.0,1092,299.0,141000.0,1
6,1950,637.0,1336,570.0,108000.0,1
5,1997,729.0,1446,406.0,175000.0,1
5,2004,1374.0,1557,420.0,234000.0,1
6,1996,1392.0,1392,528.0,121500.0,1
5,1975,1389.0,1389,418.0,170000.0,1
6,1969,996.0,996,0.0,108000.0,1
7,1950,1163.0,1674,396.0,185000.0,1
5,2000,1095.0,2295,590.0,268000.0,1
4,1950,806.0,1647,216.0,128000.0,1
5,2007,1122.0,2504,656.0,325000.0,1
5,2004,1517.0,1535,532.0,214000.0,1
8,2009,1496.0,2132,612.0,316600.0,1
5,1979,943.0,943,600.0,135960.0,1
5,1965,1728.0,1728,576.0,142600.0,1
6,1959,864.0,864,288.0,120000.0,1
5,2009,846.0,1692,650.0,224500.0,1
5,2000,384.0,1430,400.0,170000.0,1
7,2005,372.0,1109,288.0,139000.0,1
5,1950,832.0,1216,336.0,118500.0,1
7,1950,861.0,1477,216.0,145000.0,1
6,1966,1164.0,1320,564.0,164500.0,1
5,2007,689.0,1392,540.0,146000.0,1
5,1954,1050.0,1795,352.0,131500.0,1
6,1987,1144.0,1429,572.0,181900.0,1
5,2009,2042.0,2042,1390.0,253293.0,1
5,1990,816.0,816,0.0,118500.0,1
9,2000,1237.0,2775,880.0,325000.0,1
7,1995,884.0,1573,240.0,133000.0,1
5,2006,1868.0,2028,880.0,369900.0,1
7,2000,816.0,838,275.0,130000.0,1
6,1982,840.0,860,528.0,137000.0,1
8,2003,1437.0,1473,452.0,143000.0,1
6,1960,742.0,935,308.0,79500.0,1
5,2004,770.0,1582,520.0,185900.0,1
5,2008,1722.0,2296,842.0,451950.0,1
8,2003,816.0,816,816.0,138000.0,1
5,2003,848.0,848,420.0,140000.0,1
6,1975,924.0,924,280.0,110000.0,1
